X,Y
308205,2771197
305044,2769662
306408,2772392
304465,2765931
304186,2765479
305179,2766221
308400,2771560
300702,2781293
298809,2769915
305027,2768144
308150,2774485
305632,2765111
302866,2769065
303763,2769056
300150,2771198
303461,2778489
303275,2772006
305164,2771116
302297,2769972
307078,2775106
307782,2770520
303964,2769166
304440,2766421
299861,2779912
306753,2764475
304831,2768917
300612,2769209
305416,2769127
305183,2768413
303468,2772950
301834,2775884
306342,2772353
308434,2771440
302681,2771695
298930,2770190
302806,2770114
306345,2769219
300044,2771269
300249,2771038
305985,2766439
307476,2774508
304149,2766047
302331,2770663
303618,2769041
305198,2770052
302202,2769138
306313,2772345
301810,2772849
301658,2769632
304478,2770096
301063,2771169
300331,2771377
307074,2770971
307451,2772030
301282,2773432
300449,2771356
299095,2768552
300665,2778506
300159,2769604
299672,2769913
302326,2770515
301682,2773168
309427,2774975
304825,2770666
303025,2768395
300054,2770689
301707,2775017
306745,2768081
303207,2770076
302918,2767997
298872,2768482
311064,2769988
299333,2781352
305943,2765504
306878,2768128
299177,2768130
307941,2774656
305711,2775550
299525,2781940
303025,2773443
301542,2768465
303177,2772840
304607,2769710
299744,2770282
304096,2770639
300025,2770642
307329,2770517
304224,2770415
300429,2771960
305754,2765627
302102,2777928
302073,2772534
300588,2768858
302460,2773283
299576,2768380
298936,2768447
301696,2771506
307276,2766075
307780,2770213
305088,2768663
304982,2770488
302242,2773645
302367,2772637
307401,2771318
304836,2766810
307311,2775340
304426,2770031
303820,2766375
300780,2770918
306710,2766230
301788,2771517
300477,2776141
301346,2769024
300938,2774052
299486,2769619
299967,2770983
300501,2769105
307505,2770431
306741,2766193
301348,2771116
301724,2776101
303638,2769378
301877,2769324
301358,2778360
302941,2767999
300562,2771327
300249,2770401
304663,2770204
300164,2771187
307482,2772434
302203,2772157
301121,2772177
301791,2769112
301909,2771770
301348,2771116
302289,2773322
300581,2773608
302600,2768856
311081,2772150
299150,2769803
299962,2770984
300063,2770327
303486,2772850
305169,2769680
304493,2769548
300291,2769290
302233,2773588
304089,2771009
308031,2776036
305913,2769159
302792,2772626
309355,2772109
306259,2770681
302535,2773188
301587,2771184
301775,2772546
301522,2769805
304972,2769510
300770,2768984
302341,2773318
304042,2772254
300079,2770404
298814,2769593
300905,2772164
301587,2771184
300164,2769448
305231,2768815
299283,2769411
300939,2774534
301374,2769679
307837,2771791
303927,2771477
299531,2769009
302848,2768465
300174,2770561
304107,2772173
299409,2781470
305443,2768186
304492,2770701
301306,2773199
302452,2771591
305376,2765578
305857,2764501
301614,2775075
301963,2776060
305210,2763821
304307,2771098
303647,2770683
301705,2777184
304735,2768378
303987,2769230
304265,2772316
302313,2772065
298886,2770112
302959,2777827
300757,2774616
304666,2768001
302344,2775716
303504,2768946
300701,2773719
301039,2770986
305182,2769876
303601,2765581
304848,2769434
302567,2771262
304850,2770005
299684,2768420
305182,2769876
303560,2770940
303519,2766448
304423,2768475
301644,2775216
308999,2771457
301975,2769213
298614,2769752
305716,2769399
302964,2770563
303693,2768644
304101,2769684
302771,2769073
305224,2770345
299697,2770301
302266,2770490
299063,2768391
301894,2772349
305894,2772426
306440,2764932
306508,2764809
304722,2770779
304553,2774679
303901,2766653
303003,2770717
305059,2770891
300136,2769091
300600,2768935
301273,2772992
303734,2771791
307333,2770868
301864,2768398
305893,2764115
310169,2772200
310169,2772200
311504,2772021
308529,2771227
305893,2764120
300072,2769344
304869,2770865
303916,2772222
306265,2773077
307288,2766062
304622,2768005
302761,2773117
307404,2775360
304044,2769724
302930,2769295
306346,2770678
299913,2771051
300414,2769895
303851,2773103
310940,2774075
300161,2769742
308205,2770957
306464,2775580
304610,2766354
302690,2770476
302566,2773545
304912,2771997
300120,2771197
302828,2779425
303495,2767751
301007,2779216
301869,2768945
300219,2779536
303711,2768914
300330,2770556
303510,2766986
300093,2769355
301442,2771643
302978,2769963
304112,2771453
307502,2770457
302309,2768705
305627,2769790
305044,2769662
304538,2766173
305766,2772619
302341,2768304
302449,2773396
306034,2770879
302831,2772907
311577,2770932
302073,2772534
300136,2769023
300216,2771218
304819,2770403
304825,2769821
302145,2776578
298709,2781362
301531,2775296
302944,2773285
301436,2768466
